Weather,Road_Type,Time_of_Day,Traffic_Density,Speed_Limit,Road_Condition,Vehicle_Type,Driver_Age,Driver_Experience,Road_Light_Condition,Accident_Severity
Rainy,City Road,Morning,1,100,Wet,Car,51,28,Daylight,0
Clear,Rural Road,Night,1,80,Dry,Truck,49,23,Artificial Light,0
Clear,Highway,Evening,1,60,Dry,Car,54,32,Artificial Light,0
Clear,City Road,Afternoon,2,60,Under Construction,Bus,34,11,Daylight,0
Rainy,Highway,Morning,2,120,Wet,Car,62,35,Daylight,1
Clear,Rural Road,Night,0,80,Dry,Truck,49,23,Artificial Light,0
Rainy,Highway,Afternoon,2,80,Wet,Truck,27,6,Daylight,1
Rainy,City Road,Afternoon,0,60,Wet,Car,29,2,Artificial Light,1
Clear,Highway,Morning,1,60,Dry,Car,38,9,Daylight,0
Rainy,City Road,Afternoon,2,30,Wet,Truck,50,28,Artificial Light,0
Clear,Highway,Evening,1,60,Dry,Car,33,8,Artificial Light,0
Clear,Mountain Road,Night,2,80,Dry,Car,47,18,Artificial Light,1
Clear,Rural Road,Afternoon,0,60,Dry,Car,25,3,Artificial Light,0
Rainy,City Road,Night,0,30,Wet,Car,67,43,Artificial Light,1
Clear,Rural Road,Morning,0,80,Dry,Car,61,37,Daylight,0
Clear,Rural Road,Night,0,60,Dry,Truck,46,19,Artificial Light,0
Clear,City Road,Afternoon,0,60,Dry,Car,48,21,Daylight,0
Snowy,Highway,Afternoon,1,100,Under Construction,Car,53,19,Artificial Light,0
Foggy,City Road,Night,1,60,Wet,Car,35,12,No Light,0
Rainy,City Road,Afternoon,2,80,Wet,Car,59,33,Daylight,1
Clear,City Road,Morning,,60,Dry,Car,27,3,Daylight,0
Foggy,Rural Road,Evening,,100,Icy,Car,32,4,Artificial Light,0
Clear,Highway,Morning,0,30,Dry,Car,53,27,Daylight,0
Clear,Rural Road,Afternoon,,30,Dry,Car,69,44,Daylight,0
Rainy,Highway,Morning,2,80,Wet,Car,68,40,Daylight,1
Rainy,Highway,Afternoon,0,100,Wet,Car,28,5,Artificial Light,0
Rainy,Rural Road,Morning,2,80,Wet,Car,40,18,Daylight,1
Clear,City Road,Evening,0,100,Dry,Car,30,3,Artificial Light,0
Rainy,Highway,Afternoon,2,80,Wet,Truck,60,37,Daylight,1
Clear,City Road,Afternoon,1,80,Dry,Car,66,45,Artificial Light,0
,Highway,Morning,1,80,Dry,Car,43,4,Daylight,0
Clear,Highway,Afternoon,1,30,Dry,Car,63,35,Artificial Light,1
Clear,Highway,Night,0,80,Dry,Car,59,37,Artificial Light,0
Clear,Highway,Morning,1,60,Dry,Car,65,37,Daylight,1
Clear,Mountain Road,Afternoon,,60,Dry,Car,18,0,Artificial Light,0
Clear,Highway,Morning,1,80,Dry,Car,33,11,Daylight,0
Clear,City Road,Evening,1,300,Dry,Car,55,32,Artificial Light,0
Clear,Highway,Evening,0,80,Dry,Car,38,19,Artificial Light,0
Rainy,Highway,Morning,2,100,Wet,Car,46,19,Daylight,1
,City Road,Night,0,80,Icy,Car,33,5,Artificial Light,1
Rainy,Highway,Night,2,80,Wet,Truck,45,16,Artificial Light,1
Clear,Highway,Morning,0,60,Dry,Car,40,17,Daylight,0
Foggy,Highway,Night,0,60,Dry,Car,69,43,Artificial Light,0
Clear,Highway,Evening,1,50,Dry,Car,33,12,Artificial Light,0
Clear,Highway,Evening,0,60,Dry,Car,22,1,Daylight,0
Clear,Mountain Road,Afternoon,0,60,Dry,Bus,26,5,Daylight,0
Clear,Highway,Night,1,30,Wet,Car,59,34,Artificial Light,0
Rainy,Highway,Night,2,80,Wet,Car,58,19,Artificial Light,1
Clear,City Road,Afternoon,1,60,Dry,Truck,23,2,Daylight,0
Clear,Highway,Evening,,50,Dry,Truck,43,19,Artificial Light,0
Clear,City Road,Morning,0,60,Dry,Car,43,25,Daylight,0
Clear,Highway,Evening,0,80,Wet,Car,57,35,Daylight,1
Clear,Highway,Morning,0,60,Dry,Car,26,5,Daylight,0
Rainy,Highway,Afternoon,2,80,Wet,Truck,34,5,Artificial Light,1
Clear,City Road,Morning,1,80,Dry,Truck,27,4,Daylight,0
